Pop1,Pop2,gen_dist,geo_dist,color
S100,VL1,0.538777826,116.9406693,red
S100,VL2,0.658560645,121.1131359,red
S110,S8CR,0.456912109,13.87817601,green
S110,S90,0.460624737,30.2896513,green
S110,SOC,0.751266103,127.865981,red
S110,SPC,0.435195557,16.09561013,green
S110,T1L,0.474433341,53.23871607,red
S110,VFTG,0.466212768,151.4637387,purple
S110,VL1,0.480255335,85.60483511,red
S110,VL2,0.560692272,89.57222545,red
S8CR,S90,0.351840715,22.77016452,green
S8CR,SOC,0.584007611,140.0684872,red
S8CR,SPC,0.230195079,16.85200937,green
S8CR,T1L,0.385155329,65.90692578,red
S8CR,VFTG,0.439760442,158.8196106,purple
S8CR,VL1,0.369017503,98.27187955,red
S8CR,VL2,0.422544678,102.1167162,red
S90,SOC,0.751493628,157.2756487,red
S90,SPC,0.394548271,39.5117571,green
S90,T1L,0.457426162,82.54747719,red
S90,VFTG,0.461353355,146.3249803,purple
S90,VL1,0.452807158,114.6260053,red
S90,VL2,0.555933224,118.7342592,red
SOC,SPC,0.515286957,126.6751806,red
SOC,T1L,0.656065825,74.74426354,orange
SOC,VFTG,0.640663323,198.3587766,brown
SOC,VL1,0.399648528,42.87119126,orange
SOC,VL2,0.573742384,38.6324872,orange
SPC,T1L,0.371757263,54.27398434,red
SPC,VFTG,0.428998994,167.4259466,purple
SPC,VL1,0.319397445,86.02163866,red
SPC,VL2,0.366278002,89.58296128,red
T1L,VFTG,0.443613454,158.0583288,brown
T1L,VL1,0.363359247,32.38948996,orange
T1L,VL2,0.477772047,36.33408817,orange
VFTG,VL1,0.523589202,168.8838959,brown
VFTG,VL2,0.563180292,172.3653543,brown
VL1,VL2,0.17974245,4.379938427,orange
